<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;230601;120000;179.6;180;179.6;179.87;210948
AAPL;60;230601;130000;179.91;180;179.47;179.89;216186
AAPL;60;230601;140000;179.88;180.12;179.56;179.83;299099
AAPL;60;230601;150000;179.82;180.11;179.22;180.1;693850
AAPL;60;230601;160000;180.1;180.1;180.09;180.09;200
AAPL;60;230602;090000;181.03;181.745;179.71;179.78;425870
AAPL;60;230602;100000;179.75;180.63;179.27;180.515;459011
AAPL;60;230602;110000;180.53;180.99;180.14;180.97;244761
AAPL;60;230602;120000;180.98;181.035;180.495;180.85;205711
AAPL;60;230602;130000;180.84;180.88;180.3;180.5;225532
AAPL;60;230602;140000;180.525;180.83;180.075;180.61;241040
AAPL;60;230602;150000;180.64;181.1;180.6;180.92;661241
AAPL;60;230602;160000;180.94;180.94;180.94;180.94;200
AAPL;60;230605;090000;182.63;183.85;181.97;183.37;427920
AAPL;60;230605;100000;183.41;184.36;183.26;184.26;611965
AAPL;60;230605;110000;184.27;184.345;183.93;184.08;417168
AAPL;60;230605;120000;184.09;184.72;184;184.57;537883
AAPL;60;230605;130000;184.56;184.95;182.03;182.77;830732
AAPL;60;230605;140000;182.81;183.68;180.1;181.66;1361853
AAPL;60;230605;150000;181.68;181.78;178.04;179.61;1281210
AAPL;60;230606;090000;179.965;180.1;177.58;177.88;443035
AAPL;60;230606;100000;177.89;179.21;177.45;178.53;620325
AAPL;60;230606;110000;178.525;178.86;177.67;178.84;394865
AAPL;60;230606;120000;178.83;179.11;178.05;178.11;230106
AAPL;60;230606;130000;178.13;179.28;178.1;178.81;276220
AAPL;60;230606;140000;178.85;179.47;178.72;179.38;237824
AAPL;60;230606;150000;179.41;179.675;179.07;179.15;548073
AAPL;60;230607;090000;178.46;181.205;178.23;180.425;452488
AAPL;60;230607;100000;180.42;180.64;178.49;178.72;604189
AAPL;60;230607;110000;178.71;179.6;178.57;178.88;437435
AAPL;60;230607;120000;178.91;179.05;178.01;178.11;355292
AAPL;60;230607;130000;178.13;178.47;177.32;177.79;416337
AAPL;60;230607;140000;177.8;178.285;177.605;178.24;301733
AAPL;60;230607;150000;178.24;178.5;177.435;177.83;1110784
AAPL;60;230608;090000;177.93;178.73;177.77;177.865;303280
AAPL;60;230608;100000;177.865;179.19;177.47;179.11;377096
AAPL;60;230608;110000;179.12;179.88;178.98;179.52;361289
AAPL;60;230608;120000;179.51;179.99;179.33;179.62;263079
AAPL;60;230608;130000;179.62;179.865;179.01;179.52;223104
AAPL;60;230608;140000;179.545;180.24;179.47;179.93;349779
AAPL;60;230608;150000;179.93;180.84;179.74;180.56;681509
AAPL;60;230609;090000;181.5;182.18;181.25;181.58;390919
AAPL;60;230609;100000;181.59;182.11;180.99;181.4;379873
AAPL;60;230609;110000;181.4;182.07;180.87;180.93;359429
AAPL;60;230609;120000;180.9;181.57;180.63;181.39;226941
AAPL;60;230609;130000;181.4;182.02;181.31;182.02;186888
AAPL;60;230609;140000;182.03;182.22;181.76;182.02;190359
AAPL;60;230609;150000;182.035;182.09;180.75;181.06;492742
AAPL;60;230612;090000;181.27;182.03;181.27;181.44;235347
AAPL;60;230612;100000;181.41;181.96;180.97;181.78;333451
AAPL;60;230612;110000;181.78;182.525;181.73;182.33;320072
AAPL;60;230612;120000;182.32;182.5;182.12;182.4;185591
AAPL;60;230612;130000;182.41;182.77;182.37;182.74;187765
AAPL;60;230612;140000;182.76;183.11;182.635;183.11;213561
AAPL;60;230612;150000;183.11;183.89;183.02;183.84;817627
AAPL;60;230613;090000;182.8;184.13;182.72;183.23;484785
AAPL;60;230613;100000;183.25;183.63;182.47;182.95;430100
AAPL;60;230613;110000;182.92;183.75;182.83;183.14;305832
AAPL;60;230613;120000;183.13;183.52;182.98;183.46;218504
AAPL;60;230613;130000;183.43;183.55;182.77;183.02;308175
AAPL;60;230613;140000;183.01;183.09;182.44;182.92;310091
AAPL;60;230613;150000;182.93;183.38;182.69;183.32;439796
AAPL;60;230614;090000;183.37;184.02;182.91;183.9;352366
AAPL;60;230614;100000;183.91;184.325;183.69;183.78;674753
AAPL;60;230614;110000;183.78;184.39;183.52;184.09;246727
AAPL;60;230614;120000;184.06;184.24;183.84;184.09;163945
AAPL;60;230614;130000;184.09;184.09;183.52;183.66;164842
AAPL;60;230614;140000;183.71;184.12;182.02;183.58;622914
AAPL;60;230614;150000;183.59;184.2;182.96;183.96;630036
AAPL;60;230615;090000;183.96;185.2;183.8;185.2;535462
AAPL;60;230615;100000;185.22;185.85;185.01;185.4;558112
AAPL;60;230615;110000;185.4;185.95;185.23;185.55;457151
AAPL;60;230615;120000;185.545;185.56;185.035;185.11;341733
AAPL;60;230615;130000;185.11;185.75;184.56;185.69;341244
AAPL;60;230615;140000;185.69;186.52;185.47;186.34;523061
AAPL;60;230615;150000;186.345;186.45;185.69;186.02;809156
AAPL;60;230616;090000;186.62;186.82;184.97;185.21;479719
AAPL;60;230616;100000;185.25;185.955;185.15;185.74;468365
AAPL;60;230616;110000;185.74;186.13;185.31;185.78;314823
AAPL;60;230616;120000;185.77;185.98;185.51;185.94;237220
AAPL;60;230616;130000;185.95;186.02;185.47;185.58;220693
AAPL;60;230616;140000;185.57;185.62;184.865;184.9;332930
